"title","dayOut","dayIn","timeOut","meanTimeOut","devFromMean"
3,1179271860,1485068256,305796396,117116005.349,188680390.651
3,1179271860,1181513160,2241300,117116005.349,-114874705.349
3,1179517080,1485068256,305551176,117116005.349,188435170.651
3,1180135740,1485068256,304932516,117116005.349,187816510.651
3,1180135740,1182641400,2505660,117116005.349,-114610345.349
3,1180135740,1182893520,2757780,117116005.349,-114358225.349
3,1180219080,1485068256,304849176,117116005.349,187733170.651
3,1181615700,1485068256,303452556,117116005.349,186336550.651
3,1181615700,1184006100,2390400,117116005.349,-114725605.349
3,1181615700,1184105880,2490180,117116005.349,-114625825.349
3,1181766180,1485068256,303302076,117116005.349,186186070.651
3,1181766180,1184883360,3117180,117116005.349,-113998825.349
3,1181766180,1184959440,3193260,117116005.349,-113922745.349
3,1181766180,1186083540,4317360,117116005.349,-112798645.349
3,1181766180,1186378020,4611840,117116005.349,-112504165.349
3,1181766180,1186445940,4679760,117116005.349,-112436245.349
3,1181789520,1485068256,303278736,117116005.349,186162730.651
3,1181789520,1183490100,1700580,117116005.349,-115415425.349
3,1182818340,1485068256,302249916,117116005.349,185133910.651
3,1182818340,1184638920,1820580,117116005.349,-115295425.349
3,1182818340,1184893980,2075640,117116005.349,-115040365.349
3,1182818340,1185218040,2399700,117116005.349,-114716305.349
3,1182972240,1485068256,302096016,117116005.349,184980010.651
3,1182972240,1184262420,1290180,117116005.349,-115825825.349
3,1183419180,1485068256,301649076,117116005.349,184533070.651
3,1183419180,1185330120,1910940,117116005.349,-115205065.349
3,1183419180,1185827460,2408280,117116005.349,-114707725.349
3,1183419180,1186161960,2742780,117116005.349,-114373225.349
3,1183844340,1485068256,301223916,117116005.349,184107910.651
3,1184274480,1485068256,300793776,117116005.349,183677770.651
3,1184274480,1184714940,440460,117116005.349,-116675545.349
3,1184274480,1184971440,696960,117116005.349,-116419045.349
3,1184274480,1186445580,2171100,117116005.349,-114944905.349
3,1184295360,1485068256,300772896,117116005.349,183656890.651
3,1184295360,1185141840,846480,117116005.349,-116269525.349
3,1184295360,1185328140,1032780,117116005.349,-116083225.349
3,1184295360,1185478920,1183560,117116005.349,-115932445.349
3,1185394500,1485068256,299673756,117116005.349,182557750.651
3,1185394500,1186270200,875700,117116005.349,-116240305.349
3,1185394500,1186724040,1329540,117116005.349,-115786465.349
3,1185394500,1187035860,1641360,117116005.349,-115474645.349
3,1185843900,1485068256,299224356,117116005.349,182108350.651
3,1185843900,1191394800,5550900,117116005.349,-111565105.349
3,1185843900,1194025320,8181420,117116005.349,-108934585.349
3,1186529040,1485068256,298539216,117116005.349,181423210.651
3,1186529040,1190223060,3694020,117116005.349,-113421985.349
3,1186538220,1485068256,298530036,117116005.349,181414030.651
3,1186538220,1187977560,1439340,117116005.349,-115676665.349
3,1186538220,1189543500,3005280,117116005.349,-114110725.349
3,1187051280,1485068256,298016976,117116005.349,180900970.651
3,1187051280,1187585160,533880,117116005.349,-116582125.349
3,1187051280,1187657580,606300,117116005.349,-116509705.349
3,1187221560,1485068256,297846696,117116005.349,180730690.651
3,1187221560,1189453140,2231580,117116005.349,-114884425.349
3,1187221560,1190665920,3444360,117116005.349,-113671645.349
3,1187730000,1485068256,297338256,117116005.349,180222250.651
3,1187730000,1188065760,335760,117116005.349,-116780245.349
3,1187730000,1188341160,611160,117116005.349,-116504845.349
3,1187730000,1188409740,679740,117116005.349,-116436265.349
3,1188762000,1485068256,296306256,117116005.349,179190250.651
3,1188762000,1189984800,1222800,117116005.349,-115893205.349
3,1188762000,1190228880,1466880,117116005.349,-115649125.349
3,1189018920,1485068256,296049336,117116005.349,178933330.651
3,1189018920,1189464300,445380,117116005.349,-116670625.349
3,1189018920,1189790580,771660,117116005.349,-116344345.349
3,1189212660,1485068256,295855596,117116005.349,178739590.651
3,1189212660,1191800520,2587860,117116005.349,-114528145.349
3,1189212660,1192040460,2827800,117116005.349,-114288205.349
3,1189295760,1485068256,295772496,117116005.349,178656490.651
3,1189295760,1191105780,1810020,117116005.349,-115305985.349
3,1189479420,1485068256,295588836,117116005.349,178472830.651
3,1189635540,1485068256,295432716,117116005.349,178316710.651
3,1189798980,1485068256,295269276,117116005.349,178153270.651
3,1189798980,1191006240,1207260,117116005.349,-115908745.349
3,1189798980,1191266820,1467840,117116005.349,-115648165.349
3,1190137320,1485068256,294930936,117116005.349,177814930.651
3,1190137320,1190397180,259860,117116005.349,-116856145.349
3,1190137320,1190671620,534300,117116005.349,-116581705.349
3,1190137320,1191787320,1650000,117116005.349,-115466005.349
3,1190137320,1191882900,1745580,117116005.349,-115370425.349
3,1190168940,1485068256,294899316,117116005.349,177783310.651
3,1190168940,1191895140,1726200,117116005.349,-115389805.349
3,1190168940,1192157820,1988880,117116005.349,-115127125.349
3,1190168940,1196543820,6374880,117116005.349,-110741125.349
3,1190250480,1485068256,294817776,117116005.349,177701770.651
3,1190250480,1192062780,1812300,117116005.349,-115303705.349
3,1190250480,1192299480,2049000,117116005.349,-115067005.349
3,1190421240,1485068256,294647016,117116005.349,177531010.651
3,1190421240,1192152360,1731120,117116005.349,-115384885.349
3,1190421240,1192210140,1788900,117116005.349,-115327105.349
3,1190496180,1485068256,294572076,117116005.349,177456070.651
3,1190744880,1190745720,840,117116005.349,-117115165.349
3,1190944020,1485068256,294124236,117116005.349,177008230.651
3,1190944020,1192756440,1812420,117116005.349,-115303585.349
3,1191008760,1485068256,294059496,117116005.349,176943490.651
3,1191008760,1194124920,3116160,117116005.349,-113999845.349
3,1191008760,1194380040,3371280,117116005.349,-113744725.349
3,1191101820,1485068256,293966436,117116005.349,176850430.651
3,1191101820,1192757220,1655400,117116005.349,-115460605.349
3,1191267540,1485068256,293800716,117116005.349,176684710.651
3,1191267540,1191608640,341100,117116005.349,-116774905.349
3,1191267540,1191876360,608820,117116005.349,-116507185.349
3,1191543420,1485068256,293524836,117116005.349,176408830.651
3,1191897240,1485068256,293171016,117116005.349,176055010.651
3,1191897240,1194123000,2225760,117116005.349,-114890245.349
3,1192064460,1485068256,293003796,117116005.349,175887790.651
3,1192214160,1485068256,292854096,117116005.349,175738090.651
3,1192217220,1485068256,292851036,117116005.349,175735030.651
3,1192217220,1201289460,9072240,117116005.349,-108043765.349
3,1192399980,1485068256,292668276,117116005.349,175552270.651
3,1192399980,1194490380,2090400,117116005.349,-115025605.349
3,1192587240,1485068256,292481016,117116005.349,175365010.651
3,1192587240,1194298140,1710900,117116005.349,-115405105.349
3,1192587240,1194383820,1796580,117116005.349,-115319425.349
3,1193088000,1194297600,1209600,117116005.349,-115906405.349
3,1193344020,1198915200,5571180,117116005.349,-111544825.349
3,1193445660,1195936320,2490660,117116005.349,-114625345.349
3,1193445660,1196104140,2658480,117116005.349,-114457525.349
3,1193445660,1196195520,2749860,117116005.349,-114366145.349
3,1193518500,1194319320,800820,117116005.349,-116315185.349
3,1193518500,1194484860,966360,117116005.349,-116149645.349
3,1193518500,1194638940,1120440,117116005.349,-115995565.349
3,1193940660,1485068256,291127596,117116005.349,174011590.651
3,1193940660,1197140160,3199500,117116005.349,-113916505.349
3,1193940660,1201901520,7960860,117116005.349,-109155145.349
3,1193940660,1201978440,8037780,117116005.349,-109078225.349
3,1193954640,1485068256,291113616,117116005.349,173997610.651
3,1193954640,1193958660,4020,117116005.349,-117111985.349
3,1193954640,1194406380,451740,117116005.349,-116664265.349
3,1194216780,1485068256,290851476,117116005.349,173735470.651
3,1194216780,1194218400,1620,117116005.349,-117114385.349
3,1194216780,1196288820,2072040,117116005.349,-115043965.349
3,1194216780,1198098000,3881220,117116005.349,-113234785.349
3,1194216780,1198367820,4151040,117116005.349,-112964965.349
3,1194216780,1199130960,4914180,117116005.349,-112201825.349
3,1194570240,1485068256,290498016,117116005.349,173382010.651
3,1194570240,1195088940,518700,117116005.349,-116597305.349
3,1194570240,1195501260,931020,117116005.349,-116184985.349
3,1194570240,1196800320,2230080,117116005.349,-114885925.349
3,1194570240,1198007760,3437520,117116005.349,-113678485.349
3,1194570240,1198131480,3561240,117116005.349,-113554765.349
3,1194570240,1198193220,3622980,117116005.349,-113493025.349
3,1194718320,1485068256,290349936,117116005.349,173233930.651
3,1194735960,1485068256,290332296,117116005.349,173216290.651
3,1195085640,1485068256,289982616,117116005.349,172866610.651
3,1195177260,1196806740,1629480,117116005.349,-115486525.349
3,1195612800,1485068256,289455456,117116005.349,172339450.651
3,1195612800,1199138100,3525300,117116005.349,-113590705.349
3,1195612800,1201745820,6133020,117116005.349,-110982985.349
3,1197003840,1485068256,288064416,117116005.349,170948410.651
3,1197059460,1485068256,288008796,117116005.349,170892790.651
3,1197061980,1485068256,288006276,117116005.349,170890270.651
3,1197061980,1197085500,23520,117116005.349,-117092485.349
3,1197066360,1485068256,288001896,117116005.349,170885890.651
3,1197071100,1485068256,287997156,117116005.349,170881150.651
3,1197071100,1197843780,772680,117116005.349,-116343325.349
3,1197076680,1485068256,287991576,117116005.349,170875570.651
3,1197076680,1198184040,1107360,117116005.349,-116008645.349
3,1197149160,1485068256,287919096,117116005.349,170803090.651
3,1197158160,1485068256,287910096,117116005.349,170794090.651
3,1197158160,1197737280,579120,117116005.349,-116536885.349
3,1197158160,1197753900,595740,117116005.349,-116520265.349
3,1197158160,1197922320,764160,117116005.349,-116351845.349
3,1197240480,1485068256,287827776,117116005.349,170711770.651
3,1197240480,1197753600,513120,117116005.349,-116602885.349
3,1197240480,1198293060,1052580,117116005.349,-116063425.349
3,1197240480,1198699440,1458960,117116005.349,-115657045.349
3,1197309900,1485068256,287758356,117116005.349,170642350.651
3,1197309900,1198089060,779160,117116005.349,-116336845.349
3,1197309900,1198284960,975060,117116005.349,-116140945.349
3,1197322560,1485068256,287745696,117116005.349,170629690.651
3,1197324060,1485068256,287744196,117116005.349,170628190.651
