checkOut,checkIn,title,yearOut,monthOut,weekOut
1268605020,1270418880,Thriller,2010,3,10
1270492920,1272307920,Thriller,2010,4,14
1272309780,1273865520,Thriller,2010,4,17
1272309780,1273959600,Thriller,2010,4,17
1274837340,1279851720,Thriller,2010,5,21
1280252820,1280804940,Thriller,2010,7,30
1280252820,1280864460,Thriller,2010,7,30
1281307980,1282437420,Thriller,2010,8,31
1281307980,1282676700,Thriller,2010,8,31
1281307980,1284606000,Thriller,2010,8,31
1281307980,1284660060,Thriller,2010,8,31
1285119840,1286327820,Thriller,2010,9,38
1285119840,1286656320,Thriller,2010,9,38
1285119840,1286822580,Thriller,2010,9,38
1287694560,1287874020,Thriller,2010,10,42
1287694560,1287971940,Thriller,2010,10,42
1288116660,1288301760,Thriller,2010,10,43
1288665000,1289090640,Thriller,2010,11,44
1288665000,1289257800,Thriller,2010,11,44
1288665000,1289331540,Thriller,2010,11,44
1289613180,1290460680,Thriller,2010,11,45
1290885480,1291069500,Thriller,2010,11,47
1290885480,1291249860,Thriller,2010,11,47
1290885480,1291314840,Thriller,2010,11,47
1291774920,1293071760,Thriller,2010,12,49
1291774920,1293505860,Thriller,2010,12,49
1291774920,1293654660,Thriller,2010,12,49
1297709520,1301339040,Thriller,2011,2,7
1302656400,1302734940,Thriller,2011,4,15
1302656400,1303318680,Thriller,2011,4,15
1303581840,1305771300,Thriller,2011,4,16
1303581840,1305826140,Thriller,2011,4,16
1309543440,1309993320,Thriller,2011,7,26
1310164860,1310688300,Thriller,2011,7,27
1310164860,1310942880,Thriller,2011,7,27
1310164860,1311014100,Thriller,2011,7,27
1311637560,1312327980,Thriller,2011,7,30
1312660320,1313106240,Thriller,2011,8,31
1312660320,1313278140,Thriller,2011,8,31
1312660320,1313433600,Thriller,2011,8,31
1312660320,1314406020,Thriller,2011,8,31
1312660320,1314468480,Thriller,2011,8,31
1315873620,1316730240,Thriller,2011,9,37
1316989080,1317176580,Thriller,2011,9,38
1321925340,1322081520,Thriller,2011,11,47
1322867280,1322867580,Thriller,2011,12,48
1323293160,1323894840,Thriller,2011,12,49
1324431120,1324502340,Thriller,2011,12,51
1324949340,1325119320,Thriller,2011,12,52
1199306340,0,Thriller,2008,1,1
1200431460,0,Thriller,2008,1,3
1202430420,0,Thriller,2008,2,6
1205521920,0,Thriller,2008,3,11
1206494820,0,Thriller,2008,3,13
1207520160,0,Thriller,2008,4,14
1208549100,0,Thriller,2008,4,16
1209432000,0,Thriller,2008,4,18
1210646340,0,Thriller,2008,5,20
1213383180,0,Thriller,2008,6,24
1214096520,0,Thriller,2008,6,25
1217288760,0,Thriller,2008,7,31
1218500520,0,Thriller,2008,8,33
1220406180,0,Thriller,2008,9,36
1222819320,0,Thriller,2008,9,40
1225237140,0,Thriller,2008,10,44
1226538360,0,Thriller,2008,11,46
1228266840,0,Thriller,2008,12,49
1230423960,0,Thriller,2008,12,52
1232149680,0,Thriller,2009,1,3
1199306340,1199761560,Thriller,2008,1,1
1199306340,1199908560,Thriller,2008,1,1
1202430420,1204859160,Thriller,2008,2,6
1202430420,1204932780,Thriller,2008,2,6
1205521920,1206388080,Thriller,2008,3,11
1205521920,1206491520,Thriller,2008,3,11
1206494820,1207190220,Thriller,2008,3,13
1207520160,1208373420,Thriller,2008,4,14
1207520160,1208482080,Thriller,2008,4,14
1207520160,1208546520,Thriller,2008,4,14
1209432000,1210031160,Thriller,2008,4,18
1209432000,1210188180,Thriller,2008,4,18
1209432000,1210273560,Thriller,2008,4,18
1210646340,1212965880,Thriller,2008,5,20
1210646340,1213225860,Thriller,2008,5,20
1210646340,1213296300,Thriller,2008,5,20
1213383180,1213988100,Thriller,2008,6,24
1213383180,1214072040,Thriller,2008,6,24
1214096520,1215741360,Thriller,2008,6,25
1214096520,1215742020,Thriller,2008,6,25
1214096520,1216761000,Thriller,2008,6,25
1217288760,1217975760,Thriller,2008,7,31
1217288760,1218131820,Thriller,2008,7,31
1218500520,1220403720,Thriller,2008,8,33
1220406180,1221100380,Thriller,2008,9,36
1220406180,1221858120,Thriller,2008,9,36
1220406180,1222710180,Thriller,2008,9,36
1220406180,1222808580,Thriller,2008,9,36
1222819320,1224200280,Thriller,2008,9,40
1222819320,1224277980,Thriller,2008,9,40
1225237140,1225670580,Thriller,2008,10,44
1225237140,1225996080,Thriller,2008,10,44
