"","checkOut","checkIn","title","yearOut","monthOut","weekOut"
"410",1220732700,1221700140,7,2008,9,36
"411",1220732700,1221946380,7,2008,9,36
"412",1222307400,1222628820,7,2008,9,39
"413",1222803540,1223324760,7,2008,9,40
"414",1225576740,1226375220,7,2008,11,44
"415",1227143040,1228697820,7,2008,11,47
"416",1233696360,1233874080,7,2009,2,6
"417",1234210980,1234472940,7,2009,2,7
"418",1234571340,1234734060,7,2009,2,7
"419",1234571340,1235185740,7,2009,2,7
"420",1234571340,1235339640,7,2009,2,7
"421",1235945100,1237674360,7,2009,3,9
"422",1235945100,1238002380,7,2009,3,9
"423",1238109000,1238538540,7,2009,3,13
"424",1238969400,1243024080,7,2009,4,14
"425",1243371960,1243632420,7,2009,5,22
"426",1243996260,1245615420,7,2009,6,23
"427",1245693960,1245731940,7,2009,6,26
"428",1245975540,1247342640,7,2009,6,26
"429",1247954340,1248663420,7,2009,7,29
"430",1247954340,1248738600,7,2009,7,29
"431",1249173540,1250458080,7,2009,8,31
"432",1250987100,1252549560,7,2009,8,34
"433",1252876800,1254001260,7,2009,9,37
"434",1255640460,1256344260,7,2009,10,42
"435",1256758920,1257313380,7,2009,10,44
"436",1256758920,1257358020,7,2009,10,44
"437",1256758920,1259785500,7,2009,10,44
"438",1259963700,1260220500,7,2009,12,49
"439",1259963700,1260335940,7,2009,12,49
"440",1263158220,1263606780,7,2010,1,1
"441",1263158220,1264208100,7,2010,1,1
"442",1263158220,1264209180,7,2010,1,1
"443",1263158220,1264269660,7,2010,1,1
"444",1264468500,1265078100,7,2010,1,4
"445",1265853420,1266023640,7,2010,2,6
"446",1266184980,1267657860,7,2010,2,6
"447",1270607340,1273351440,7,2010,4,14
"448",1275261240,1275960420,7,2010,5,21
"449",1276285860,1276897440,7,2010,6,23
"450",1200530580,0,8,2008,1,3
"451",1202603700,0,8,2008,2,6
"452",1204143240,0,8,2008,2,9
"453",1205703540,0,8,2008,3,11
"454",1208727780,0,8,2008,4,16
"455",1200530580,1202168280,8,2008,1,3
"456",1200530580,1202333400,8,2008,1,3
"457",1202603700,1203799980,8,2008,2,6
"458",1202603700,1203995340,8,2008,2,6
"459",1204143240,1205350020,8,2008,2,9
"460",1205703540,1208132100,8,2008,3,11
"461",1208390460,1208390760,8,2008,4,16
"462",1208390460,1208463000,8,2008,4,16
"463",1205364480,0,7,2008,3,11
"464",1205613960,0,7,2008,3,11
"465",1206997860,0,7,2008,3,14
"466",1207257720,0,7,2008,4,14
"467",1209088320,0,7,2008,4,17
"468",1211398800,0,7,2008,5,21
"469",1212531060,0,7,2008,6,23
"470",1213145940,0,7,2008,6,24
"471",1214695920,0,7,2008,6,26
"472",1215645780,0,7,2008,7,28
"473",1205364480,1205536440,7,2008,3,11
"474",1205613960,1206915600,7,2008,3,11
"475",1206997860,1207181460,7,2008,3,14
"476",1209088320,1210809960,7,2008,4,17
"477",1209088320,1210989360,7,2008,4,17
"478",1209088320,1211235420,7,2008,4,17
"479",1211398800,1212103020,7,2008,5,21
"480",1212531060,1212708240,7,2008,6,23
"481",1213145940,1214082960,7,2008,6,24
"482",1215645780,1215813960,7,2008,7,28
"483",1200270180,0,1,2008,1,2
"484",1202521320,0,1,2008,2,6
"485",1208628960,0,1,2008,4,16
"486",1210180920,0,1,2008,5,19
"487",1211330580,0,1,2008,5,21
"488",1214600340,0,1,2008,6,26
"489",1215896580,0,1,2008,7,28
"490",1217096100,0,1,2008,7,30
"491",1218051960,0,1,2008,8,32
"492",1219698840,0,1,2008,8,35
"493",1220642340,0,1,2008,9,36
"494",1221703980,0,1,2008,9,38
"495",1229033580,0,1,2008,12,50
"496",1233770820,0,1,2009,2,6
"497",1235609940,0,1,2009,2,9
"498",1237672440,0,1,2009,3,12
"499",1238551920,0,1,2009,3,14
"500",1239836340,0,1,2009,4,16
"501",1241222640,0,1,2009,5,18
"502",1242269160,0,1,2009,5,20
"503",1242775380,0,1,2009,5,21
"504",1244853600,0,1,2009,6,24
"505",1245264120,0,1,2009,6,25
"506",1245715560,0,1,2009,6,26
"507",1248300540,0,1,2009,7,30
"508",1249587540,0,1,2009,8,32
"509",1200270180,1202508720,1,2008,1,2
"510",1202521320,1208070000,1,2008,2,6
"511",1202521320,1208373780,1,2008,2,6
"512",1202521320,1208455920,1,2008,2,6
"513",1208628960,1209086640,1,2008,4,16
"514",1208628960,1209089040,1,2008,4,16
"515",1208628960,1209494580,1,2008,4,16
"516",1210180920,1210359540,1,2008,5,19
"517",1210180920,1210470540,1,2008,5,19
"518",1210180920,1210894860,1,2008,5,19
"519",1210180920,1211056860,1,2008,5,19
"520",1211330580,1214094780,1,2008,5,21
