"checkOut","checkIn","title","yearOut","monthOut","weekOut","count"
1205521920,1206491520,9,2008,3,11,75
1206494820,1207190220,9,2008,3,13,51
1207520160,1208373420,9,2008,4,14,45
1207520160,1208482080,9,2008,4,14,45
1207520160,1208546520,9,2008,4,14,45
1209432000,1210031160,9,2008,4,18,54
1209432000,1210188180,9,2008,4,18,54
1209432000,1210273560,9,2008,4,18,54
1210646340,1212965880,9,2008,5,20,66
1210646340,1213225860,9,2008,5,20,66
1210646340,1213296300,9,2008,5,20,66
1213383180,1213988100,9,2008,6,24,74
1213383180,1214072040,9,2008,6,24,74
1214096520,1215741360,9,2008,6,25,92
1214096520,1215742020,9,2008,6,25,92
1214096520,1216761000,9,2008,6,25,92
1217288760,1217975760,9,2008,7,31,43
1217288760,1218131820,9,2008,7,31,43
1218500520,1220403720,9,2008,8,33,80
1220406180,1221100380,9,2008,9,36,60
1220406180,1221858120,9,2008,9,36,60
1220406180,1222710180,9,2008,9,36,60
1220406180,1222808580,9,2008,9,36,60
1222819320,1224200280,9,2008,9,40,18
1222819320,1224277980,9,2008,9,40,18
1225237140,1225670580,9,2008,10,44,30
1225237140,1225996080,9,2008,10,44,30
1226538360,1227474060,9,2008,11,46,52
1228266840,1229216640,9,2008,12,49,63
1228266840,1229452260,9,2008,12,49,63
1228266840,1229555460,9,2008,12,49,63
1232149680,1233278220,9,2009,1,3,66
1199934900,0,7,2008,1,2,51
1203638460,0,7,2008,2,8,48
1205456880,0,7,2008,3,11,75
1208487480,0,7,2008,4,16,84
1209688320,0,7,2008,5,18,34
1210726020,0,7,2008,5,20,66
1211589240,0,7,2008,5,21,85
1213229340,0,7,2008,6,24,74
1215804420,0,7,2008,7,28,80
1217024580,0,7,2008,7,30,70
1218670860,0,7,2008,8,33,80
1219440780,0,7,2008,8,34,59
1222307400,0,7,2008,9,39,76
1222803540,0,7,2008,9,40,18
1223510100,0,7,2008,10,41,91
1225576740,0,7,2008,11,44,7
1226712540,0,7,2008,11,46,52
1227143040,0,7,2008,11,47,63
1228865820,0,7,2008,12,50,44
1233696360,0,7,2009,2,6,83
1234210980,0,7,2009,2,7,77
1234571340,0,7,2009,2,7,77
1235945100,0,7,2009,3,9,12
1238109000,0,7,2009,3,13,57
