,title,nWords,text,level,0,1,2,3,4,5,6,7
17,Submarine,/wiki/Submarine,2,Iran,-0.11216803975336084,-0.14052324639696342,0.13956099543950928,-0.0736931550389267,0.0010595371584280603,-0.11603898897931987,0.11028366622837564,-0.032288016479080466
18,Sasanian art,/wiki/Sassanid_art,2,Iran,-0.09168229407064764,0.3448037835278171,0.2850303211431635,-0.09964822728518204,-0.21260787308758544,0.011606669573425855,-0.1380099950557457,-0.07716588719377412
19,Franklin D. Roosevelt,/wiki/Franklin_D._Roosevelt,2,Iran,-0.061600972237301176,-0.17097111476536858,0.17173517114274384,-0.29308965699822315,0.07486682818668124,-0.2255396112460201,0.2256016520857585,0.06923822584382755
20,Sasanian Empire,/wiki/Sasanian_Empire,2,Iran,-0.011131467656012013,0.42997526214250187,0.2719783613736086,-0.19581406094101625,-0.13413975989200286,-0.019396322647776642,-0.135121499582232,0.04200787359922683
21,Turkey,/wiki/Turkey,2,Iran,0.12044837958698322,0.033332796794326235,0.2635872606667965,-0.04653075974575787,-0.03346392875017616,-0.10825264945910046,-0.04498214638710367,-0.17222701171455748
22,Badab-e Surt,/wiki/Badab-e_Surt,2,Iran,-0.10256234950868996,-0.10158016011156136,-0.0764572644809386,0.1331239877244446,-0.07821964736833716,0.01642591519650184,0.11547612850747192,-0.15530125263160796
23,FIVB World Rankings,/wiki/FIVB_World_Rankings,2,Iran,-0.09958323834993636,-0.20291852291135734,0.051478011311757436,0.0012562737043528929,-0.05176082974248553,-0.08478497484326232,0.03412532137676001,-0.07363592301569231
24,Iranian peoples,/wiki/Ancient_Iranian_peoples,2,Iran,0.19218622564774301,0.4969169532523909,-0.24897827251859375,-0.0894555750393693,0.01571069626839626,-0.21463542675036465,-0.05546098003486881,0.09749819731347688
25,Mandane of Media,/wiki/Mandane,2,Iran,-0.18618765497759784,-0.007767352567800974,0.0277578099521406,-0.1332532180256108,-0.1960602432338183,0.41409673723536944,0.12292694971639315,0.3387972704930446
26,Economy of Iran,/wiki/Iranian_Economic_Reform_Plan#Subsidy_reform_plan,2,Iran,0.6106886337781142,-0.1277471861587245,0.22369311343209605,0.21322481619532907,-0.009858025297265377,-0.03866082722756755,-0.07431999103474374,0.10341878851520228
27,Lor Girl,/wiki/Lor_Girl,2,Iran,0.07566006152595456,-0.03432893076746922,-0.20660640662811688,0.08038481217077054,0.09575095703919803,0.2533870845396591,-0.15787332847078578,-0.02544841865905599
28,Viguen,/wiki/Viguen,2,Iran,-0.012318361453012615,0.007365718988004523,-0.20691113968011407,-0.10850309837500216,-0.1246039395939395,0.06929242949665458,-0.08014919055975972,0.03332386237034731
29,Calligraphy,/wiki/Calligraphy,2,Iran,-0.16256218694025534,0.10651430917748464,0.06563913771535412,-0.1362009852497743,0.05940243837888828,-0.056333572846352424,-0.15375458165945646,-0.27656446749694313
30,List of countries by GDP (PPP),/wiki/List_of_countries_by_GDP_(PPP),2,Iran,-0.0074505107002029065,-0.2825376281008025,0.17634766873202512,0.1256636022843794,0.06754706848947556,-0.028222268861677027,-0.09673897136167343,-0.11882225367784395
31,2009 Iranian presidential election protests,/wiki/2009_Iranian_presidential_election_protests,2,Iran,0.3107077411021698,-0.05217339380059262,-0.1580193268364998,-0.2688732835974404,0.19025525759376885,0.010207070962278209,0.17748407874935504,0.11508163241591385
